Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2016-08-01,0.0049,0.0168,0.0318,-0.018500000000000003,-0.0034000000000000002,0.0002
2016-09-01,0.0025,0.018500000000000003,-0.0124,-0.022099999999999998,0.0003,0.0002
2016-10-01,-0.0202,-0.04019999999999999,0.0409,0.009300000000000001,0.0028000000000000004,0.0002
2016-11-01,0.048600000000000004,0.0707,0.0821,-0.0018,0.037000000000000005,0.0001
2016-12-01,0.0181,0.0040999999999999995,0.0353,0.012199999999999999,-0.0023,0.0003
2017-01-01,0.0194,-0.0146,-0.0275,-0.0049,-0.009899999999999999,0.0004
2017-02-01,0.035699999999999996,-0.0222,-0.0167,0.004699999999999999,-0.0183,0.0004
2017-03-01,0.0017000000000000001,0.0074,-0.0335,0.0060999999999999995,-0.009399999999999999,0.0003
2017-04-01,0.0109,0.0048,-0.0213,0.019,-0.016,0.0005
2017-05-01,0.0106,-0.030600000000000002,-0.0378,0.0095,-0.0179,0.0006
2017-06-01,0.0078000000000000005,0.0258,0.0148,-0.0222,0.0,0.0006
2017-07-01,0.0187,-0.0169,-0.0031,-0.0064,-0.002,0.0007000000000000001
2017-08-01,0.0016,-0.0182,-0.0209,0.0014000000000000002,-0.023799999999999998,0.0009
2017-09-01,0.025099999999999997,0.0478,0.031400000000000004,-0.0147,0.0169,0.0009
2017-10-01,0.0225,-0.0194,0.002,0.009300000000000001,-0.0325,0.0009
2017-11-01,0.031200000000000002,-0.0033,-0.0003,0.0316,-0.0005,0.0008
2017-12-01,0.0106,-0.010700000000000001,0.0006,0.0074,0.0169,0.0009
2018-01-01,0.0557,-0.0318,-0.0129,-0.0076,-0.0096,0.0012
2018-02-01,-0.0365,0.0032,-0.0104,0.0052,-0.023700000000000002,0.0011
2018-03-01,-0.0235,0.0359,-0.0021,-0.0046,0.0001,0.0011
2018-04-01,0.0028000000000000004,0.009300000000000001,0.0054,-0.0242,0.013000000000000001,0.0014000000000000002
2018-05-01,0.0265,0.0473,-0.032,-0.0204,-0.015,0.0014000000000000002
2018-06-01,0.0048,0.008,-0.023399999999999997,0.0079,0.0024,0.0014000000000000002
2018-07-01,0.0319,-0.019299999999999998,0.004699999999999999,0.015600000000000001,0.0034999999999999996,0.0016
2018-08-01,0.0344,0.0064,-0.0394,-0.0031,-0.027000000000000003,0.0016
2018-09-01,0.0006,-0.0248,-0.017,0.0063,0.0129,0.0015
2018-10-01,-0.0768,-0.0446,0.034,0.009399999999999999,0.0359,0.0019
2018-11-01,0.0169,-0.0077,0.003,-0.0055000000000000005,0.0039000000000000003,0.0018
2018-12-01,-0.09570000000000001,-0.0288,-0.0184,-0.0002,0.0021,0.002
2019-01-01,0.084,0.030299999999999997,-0.0046,-0.008,-0.0151,0.0021
2019-02-01,0.034,0.0174,-0.026699999999999998,0.0012,-0.0159,0.0018
2019-03-01,0.011000000000000001,-0.0351,-0.0417,0.009000000000000001,-0.0095,0.0019
2019-04-01,0.0397,-0.011699999999999999,0.0215,0.0161,-0.0222,0.0021
2019-05-01,-0.0694,-0.0159,-0.023700000000000002,-0.0046,0.0177,0.0021
2019-06-01,0.0693,0.0037,-0.0070999999999999995,0.009000000000000001,-0.0044,0.0018
2019-07-01,0.011899999999999999,-0.0178,0.0048,-0.0008,0.0036,0.0019
2019-08-01,-0.0258,-0.032400000000000005,-0.0478,0.005600000000000001,-0.0068000000000000005,0.0016
2019-09-01,0.0143,0.0027,0.0675,0.0184,0.0337,0.0018
2019-10-01,0.0206,0.0026,-0.0191,0.0044,-0.0096,0.0016
2019-11-01,0.0387,0.0044,-0.0202,-0.0159,-0.0124,0.0012
2019-12-01,0.0277,0.0097,0.0175,0.0001,0.0124,0.0014000000000000002
2020-01-01,-0.0011,-0.0438,-0.0625,-0.011699999999999999,-0.0232,0.0013
2020-02-01,-0.08130000000000001,0.0004,-0.0381,-0.0147,-0.025099999999999997,0.0012
