,Ticker
MMM,0.16637754558789264
ABT,0.11453535300096251
ABBV,0.30551277493141527
ACHC,1.1862189289438128
ACN,0.45282748417143637
AYI,0.7323284595522461
ADM,0.34281469637998874
ADBE,0.1787147622610914
ADP,0.46149583109086234
ADT,0.01975143260960377
AAP,0.4325283789907435
WMS,0.764559330130919
ACM,0.5298256363540241
AES,0.30092463351985366
AFL,0.49024315972634636
AGCO,0.7843097061608237
A,0.5980461481423727
ADC,0.10037765634834495
AGNC,0.25546970561419147
AIG,1.0894994521119332
AL,0.37887150190862084
APD,-0.11314982800130224
AKAM,-0.04386481348396354
ALK,0.6535835749228287
ALB,1.4841830762293275
AA,3.374642892770294
ARE,0.23638648075598456
ALGN,1.0619366175441844
ALLE,0.38423234708129206
LNT,0.13191653110536272
ALSN,0.04122909825281318
ALL,0.40959396478666066
ALLY,1.1082913248785693
ALNY,0.21971086450366295
GOOGL,0.8378598533582429
GOOG,0.835131565563026
AYX,-0.3701569278723156
MO,0.35857207686682946
AMZN,0.048594765029144726
AMC,6.606648039232557
AMD,0.22491547851465565
DOX,0.3538469081514024
AMED,-0.3666270095190416
AEE,0.06970252500138274
AAL,0.7131759189469979
AEP,0.040425139028009704
AXP,0.7377960985707988
AFG,1.313370738693525
AMH,0.3829835869581706
AMT,0.14035697541555914
AWK,0.19302617223511587
COLD,-0.16262684351368728
AMP,0.795378469510446
AME,0.28519407516730877
AMG,1.2508528619461097
AMGN,-0.13017894956480858
APH,0.3906122446879081
ADI,0.473540950166933
NLY,0.3193209256896945
ANSS,0.0421288315660453
AM,1.2794942475908733
AR,5.819022361698544
AON,0.4262141742802319
APA,1.2690320500887156
APLS,0.12515349514868723
AAPL,0.24231492178117575
AMAT,1.182633697082447
ATR,0.07561126844248944
APTV,0.6463604517037271
ARMK,0.2927362289672131
ACGL,0.32936427455973094
ARES,0.885804621118214
ANET,0.6753938565287592
AWI,0.43472944574397165
ARW,0.4564045933575731
AJG,0.4520611512372863
ASH,0.26603278786351603
AIZ,0.350055677526671
AGO,1.2275731397039098
T,0.05610212239566126
ATO,-0.04581322666323551
ADSK,0.24775145212268068
AN,1.4460367628773207
AZO,0.4772694737509857
AVB,0.5493181703733132
AGR,0.013844601080659436
AVY,0.691440660182395
CAR,3.5097780367062636
AVT,0.48682494919982977
AXTA,0.35163775280173026
AXS,0.0839113846833599
AXON,0.9360502690508343
AZTA,1.2540416074372556
BKR,0.9578094012015357
BALL,0.08781649307341555
BAC,0.8292507719470952
OZK,1.1490540054479452
BBWI,1.6447783957985016
BAX,0.03112433022601535
BDX,0.09727926194149661
WRB,0.21902037189983448
BERY,0.2820998333261633
BBY,0.00737920963916161
BIO,0.4557625820180271
TECH,0.9922293225033545
BIIB,0.006653693789291815
BMRN,0.009369623549618566
BJ,0.38397367552867
BLK,0.5533550340164202
BX,1.3751989252559174
HRB,0.6265583330670803
SQ,0.4542665818800604
BK,0.5812398255769706
BA,0.3653556468204211
BOKF,0.8287908227572442
BKNG,0.3918100183039166
BAH,-0.026438810887229214
BWA,0.16278118726873325
SAM,-0.4193960923441895
BXP,0.4397159518096667
BSX,0.14928659845665404
BYD,1.1095306851887021
BFAM,-0.05249161006522696
BHF,0.71305695427361
BMY,0.03683093363277923
BRX,1.037105687056545
AVGO,0.38816491009662735
BR,0.29662545630280834
BEPC,0.01883834189747624
BRO,0.2527711488113731
BRKR,0.9995849783496604
BC,0.7055369127406599
BLDR,0.6562866892254802
BG,0.8241860846089375
BURL,0.47336900520967795
BWXT,-0.020846868020922393
CHRW,-0.11564222504177668
CABO,-0.022573146143993306
CACI,0.2440876383752717
CDNS,0.4298620836405156
CZR,1.0285182547900877
CPT,0.7383560008166243
CPB,-0.08696541492637999
COF,1.3598557957274306
CPRI,1.8568757697449776
CAH,0.12780601796019586
CSL,0.6842645185192535
CG,0.9783951208555641
KMX,0.5963667208981505
CCL,0.6846424415999726
CRI,0.17735119280946754
CASY,0.08807634978467704
CTLT,0.5699332185811739
CAT,0.3567968966327604
CBOE,0.42873675898216024
CBRE,1.10563775215356
CDW,0.5694108301748522
CE,0.46226920670629323
CELH,3.0105953752262558
COR,0.28516577291728207
CNC,0.08486968376583803
CNP,0.33325544646831107
CDAY,0.36867264958453183
CF,0.8989155365888175
CRL,0.8730180101618339
SCHW,1.1122975242247972
CHTR,0.17508010131661722
CHE,-0.020204920301408746
CC,0.45524354756005714
LNG,1.1154220411598996
CVX,0.5175831525287689
CMG,0.48704270076958833
CHH,0.5231341559447393
CB,0.5504846269150936
CHD,-0.09059125113335309
CHDN,0.46361288365440134
CIEN,0.2943454605321827
CINF,0.5309728120806654
CTAS,0.1906987913648488
CRUS,0.21874736086897073
CSCO,0.4555007857818729
C,0.7223588084454458
CFG,0.9850159641021374
CLH,0.8862359868624772
CWEN,0.19761736122485485
CLF,2.1168326384314833
CLX,-0.18255095501429297
CME,0.2110177631390524
CMS,0.0019509650406051016
CNA,0.5027619788019029
CNHI,1.1807157253111424
KO,0.10707621000795897
CGNX,0.26320607518821326
CTSH,0.1029049018560102
COHR,0.46994744831165525
CL,0.021458850061212287
COLB,0.6743050590189081
COLM,0.1522206079007582
CMCSA,0.23258237035802232
CMA,1.2552755705757574
CBSH,0.3472922323493297
ED,-0.017348969375014178
CAG,0.0025153920913614236
COP,1.1559432135694245
STZ,0.13383875354693475
COO,0.2539846766184981
CPRT,0.3463960389894458
GLW,0.17393684231525408
CSGP,0.006259366312405756
COST,0.3177903610413686
